Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,skills,Job_skills,skills_skills,Class
Finance Associate,NTT Ltd.,Mumbai,Hybrid,0,0.202501147,200,Information Technology & Services ,Entry level,Full-time,account reconciliation accounting standards attention to detail data analytics data collection data storage management review operating agreements reporting requirements telecommunications,"'ntt global networks', 'ntt', 'ntttotal experience', 'mumbai', 'goregaon', 'providersvalidate', 'ap', 'relationshipscoordinate', 'entrydispute', 'ntt global', 'requirementsassist', 'vendorsassist', 'databaseassist', 'mannerad hoc', 'data storage', 'telecom', 'gaap', 'powerpoint', 'exceldedicated', 'organizingexpertise'","'account', 'detail data analytics data collection data storage'",Class 2
Finance Manager,Godrej Group,Mumbai,On-site,0.538614821,0.35360257,200,Consumer Goods ,Mid-Senior level,Full-time,animal feed cisco application centric infrastructure (aci) finance managerial finance sales & marketing,"'job', 'titlerole summary', 'commercial', 'credit', 'cpb', 'work', 'sales', 'godrej agrovetgodrej agrovet limited', 'gavl', 'development', 'company', 'indian', 'gavl', 'animal feed', 'crop protection', 'oil palm', 'dairy', 'poultry', 'gavl', 'india', 'company', 'aci', 'bangladesh', 'bangladesh', 'godrej agrovet', 'india', 'nadir godrej', 'mba', 'mba', 'jd'","'animal', 'feed cisco application centric infrastructure', 'aci'",Class 1
"Snapshot - India Analyst, Process || Gurgaon",WM,Gurugram,On-site,0.538614821,0.262815512,18,Environmental Services ,Mid-Senior level,Full-time,accounting software common sense communication concrete database management system (dbms) databases open accounts problem solving team management written communication,"'reconciles', 'audits', 'speed', 'high school diploma', 'ged', 'audit', 'accounts', 'finance', 'ability', 'outlook', 'word', 'powerpoint'","'software common sense', 'dbms', 'team management written'",Class 1
Finance Associate,NTT Ltd.,Mumbai,Hybrid,0.538614821,0.202501147,200,Information Technology & Services ,Entry level,Full-time,account reconciliation accounting standards attention to detail data analytics data collection data storage management review operating agreements reporting requirements telecommunications,"'ntt global networks', 'ntt', 'ntttotal experience', 'mumbai', 'goregaon', 'providersvalidate', 'ap', 'relationshipscoordinate', 'entrydispute', 'ntt global', 'requirementsassist', 'vendorsassist', 'databaseassist', 'mannerad hoc', 'data storage', 'telecom', 'gaap', 'powerpoint', 'exceldedicated', 'organizingexpertise'","'account', 'detail data analytics data collection data storage'",Class 1
Executives,EXL,Bengaluru,On-site,0.538614821,0.315557595,57,Information Technology & Services ,Executive,Temporary,bankruptcy law cash application computer literacy creative problem solving debit cards dispute resolution interpersonal communication microsoft outlook problem solving written communication,'ar cash',"'bankruptcy', 'law cash', 'debit cards dispute', 'microsoft outlook problem solving written'",Class 1
Business Development Associate,BYJU'S,Bengaluru,On-site,0.538614821,0.408776962,9,E-learning ,Entry level,Full-time,ctc cold calling communication customer satisfaction direct sales inside sales lead generation market research presentation skills teamwork,"'bda r3', 'edtech', 'company', 'dna', 'byjuite', 'average', 'bda', 'atp', 'ojt', 'week', 'travel allowance', 'tenure'","'ctc cold calling communication customer', 'sales lead generation market research', 'skills teamwork'",Class 1
Talent Acquisition (HR) Intern,Erekrut... Recruitment Made Easy,New Delhi,Remote,1,0.003304268,40,Computer Software ,Entry level,Internship,human resources (hr)attention to detail communication interpersonal communication interviewing networking events onboarding sourcing talent management teamwork,"'human resource intern', 'freshers', 'experienced', 'erekrut', 'assist', 'select', 'interns', 'solid', 'internship', 'digital', 'intern', 'organize'","'detail communication', 'talent management teamwork'",Class 4
Management Trainee - Exports,Okaya Power Group,New Delhi,On-site,0.269280483,0.009052318,48,Electrical & Electronic Manufacturing ,Entry level,Full-time,marketinganalytical skills communication english financial analysis presentation skills problem solving team leadership team management teamwork,"'career opportunity', 'trainee', 'okaya power group', 'west delhiokaya', 'okaya'","'marketinganalytical', 'skills communication english financial analysis', 'skills problem solving team leadership team'",Class 2
Manager,PwC India,Bengaluru,On-site,0.538560965,0.203889399,5,Management Consulting ,Mid-Senior level,Full-time,angular commerce communication design patterns java java development pattern soap web services description language (wsdl) xml schema definition (xsd),"'line', 'emerging technology', 'java', 'java', 'angular', 'react jsproven', 'html', 'css', 'javascriptautomated', 'junit', 'mockito no', 'docker', 'kuberneteshands', 'rest', 'json', 'soap', 'wsdl', 'xsd', 'pwa', 'twa', 'linux', 'agile', 'git', 'svn', 'maven', 'gradledemonstrable', 'developmentgood', 'study', 'front end', 'soap'","'angular', 'commerce communication', 'patterns java java development pattern', 'wsdl', 'xml schema definition', 'xsd'",Class 1
Human Resource Trainee,"LanceSoft, Inc.",Indore,On-site,0.269280483,0.036668196,37,Information Technology & Services ,Entry level,Full-time,human resources (hr)communication continuous improvement developmental employee engagement employer branding microsoft excel problem solving statutory strategic thinking,"'mba', 'hr', 'hr', 'employee'","'communication continuous', 'microsoft excel problem solving statutory strategic'",Class 2
"India Senior Analyst I, HR",WM,Indore,On-site,0.538614821,0.262815512,11,Environmental Services ,Mid-Senior level,Full-time,human resources (hr)coaching deferred compensation employee relations interviewing labor relations organizational development performance appraisal performance management talent management,"'usabout', 'north', 'waste management', 'houston', 'texas', 'wm', 'u.s.', 'canada', 'wm', 'north america', 'north america', 'north', 'america', 'wm'",'labor relations organizational development performance appraisal performance',Class 1
HR Technical Recruiter,Intuitive Apps Inc.,Gurugram,On-site,1,0.000355668,39,Information Technology & Services ,Entry level,Full-time,human resources (hr)client relations customer relationship management (crm) health insurance hiring it recruitment new business opportunities recruiting screening technical understanding,"'hi', 'technical', 'should'","'client relations customer relationship management', 'crm', 'health insurance'",Class 4
Human Resources Generalist,Allsport.in by Khelo Tech & Strategy Private Limited.,Saket,On-site,1,0.000172097,22,Information Technology & Services ,Entry level,Full-time,human resources (hr)managementhuman resources information systems (hris) leave management payroll administration policy writing recruiting salary travel,"'responsibilities1', 'leave', 'payroll', 'candidate', 'saket'","'managementhuman resources information systems', 'hris', 'leave management payroll'",Class 4
Human Resources Assistant,SRMP Group,Patna,On-site,0.026928048,0.000103258,27,Real Estate ,Entry level,Full-time,disbursements job description development loan processing microsoft excel operations payroll software,"'job', 'mis', 'lwp', 'pl', 'el', 'monthly salary', 'payroll', 'excel5', 'advance', 'loan processing'","'job', 'microsoft excel operations payroll software'",Class 2
Freelance Recruiter,assuredjob.com,Madhya Pradesh,Remote,1,0.000149151,34,Staffing & Recruiting ,Entry level,Contract,banking freelancing hiring insurance recruiting sales,"'insurance', 'domestic indian'",'insurance recruiting',Class 4
Business Development Executive (Freshers Only),Quale Infotech Inc. | RPA & AI,New Delhi,On-site,0.010771219,0.000883433,23,Information Technology & Services ,Entry level,Full-time,account management business development cios client requirements communication inside sales interpersonal skills lead generation lead qualification social media,"'create', 'quale', 'ceos', 'cfos', 'cios', 'ctos', 'linkedin', 'facebook', 'ceo'","'account', 'client requirements', 'interpersonal skills lead generation lead qualification social media'",Class 2
Admissions Officer,O3Hire,New Delhi,On-site,0.010771219,0.000699862,14,Human Resources ,Entry level,Full-time,administrationadmissions communication customer experience customer service english sales sales targets student counseling working experience,"'ssao', 'student support', 'ssao', 'ssao', 'ensure', 'job title', 'support', 'admission', 'branch head work', 'pan india', 'aakash institute', 'student', 'parents', 'ensure', 'ssao', 'microsoft', 'fluency', 'english'",'communication customer experience customer service english sales sales targets student',Class 2
Business Development Associate,Hindustan Recruitment,New Delhi,On-site,1,0.000424507,6,Human Resources ,Entry level,Full-time,communication customer satisfaction customer service deal closure edtech english hindi inside sales records management sales,"'job', 'admission', 'english', 'edtech', 'english', 'edtech', 'bangalore', 'bangalore', 'mg', 'lpasalary', 'edtech'","'edtech english hindi inside', 'sales records'",Class 4
Analyst/ Associate - Energy,RTI International,Delhi,On-site,0.538560965,0.076801285,8,Research ,Entry level,Full-time,climate change communication data analysis data analytics eoi modeling tools renewable energy secondary research sustainability written communication,"'strong', 'india', 'eoi', 'rti'","'climate', 'change communication data analysis data analytics', 'renewable energy'",Class 1
Clinical Records Administrator,LifeWorks (acquise par TELUS Sant̩ | acquired by TELUS Health),Gurgaon,On-site,0.538560965,0.030002295,23,Human Resources ,Entry level,Full-time,analytical skills confidentiality data entry data verification document management information management problem solving records management timelines training,'educate',"'skills confidentiality data entry data', 'records management timelines training'",Class 1
Technical Support Manager,Couchbase,Bengaluru,Hybrid,0.053856097,0.009924277,8,Computer Software ,Mid-Senior level,Full-time,analytical skills communication computer science customer satisfaction performance appraisal problem solving support engineers talent management team motivation technical support,"'computer science', 'distributed systems', 'cloud', 'support', 'python', 'support', 'internals', 'landscape', 'systems', 'flexibility', 'benefits', 'rsu', 'espp', 'retirement', 'business travel insurance', 'growth', 'create', 'perks', 'monthly lifestyle', 'wfh', 'food', 'snacks', 'please'","'skills communication computer science customer', 'support engineers talent management team motivation technical support'",Class 2
Quality Assurance Engineer,Clinisys,Kolkata,On-site,0.269280483,0.014708582,15,Computer Software ,Entry level,Full-time,api testing attention to detail manual testing mobile testing qa engineering quality assurance regression testing root cause software testing test cases,"'test management tool', 'sql', 'integration', 'qa', 'devops', 'sprint', 'client'","'api', 'detail manual testing mobile testing qa engineering quality assurance'",Class 2
BPO Recruiter,Elite Business Solution,Bareilly,Hybrid,1,0.000722809,2,Human Resources ,Entry level,Full-time,business process outsourcing (bpo) communication interpersonal skills microsoft office office software organization skills quotas recruiting resume,"'hi', 'hr', 'am', 'completely target', 'english', 'hindi', 'laptop', 'understand', 'evaluate', 'source', 'create', 'facilitate', 'resume', 'sahil'","'business', 'process outsourcing', 'bpo', 'communication interpersonal skills microsoft', 'skills quotas'",Class 4
Business Development Executive,Hindustan Recruitment,Bengaluru,On-site,1,0.000424507,8,Human Resources ,Entry level,Full-time,account management communication customer satisfaction edtech market research negotiation new business development presentation skills presentations sales processes,"'road', 'skill'","'account', 'edtech market research', 'skills presentations'",Class 4
AEM Front end developer,Mobile Programming LLC,Chennai,On-site,0.269280483,0.017680128,23,Information Technology & Services ,Entry level,Full-time,adobe experience manager (aem) angular bootstrap content management systems (cms) front-end development html javascript react.js responsive web design vue.js,"'aem', 'chennairequired skill', 'cms', 'aem', 'html', 'css', 'javascript', 'react', 'jsp', 'htlrequirement', 'html', 'jsp', 'htl', 'javascript', 'jquery', 'css', 'less', 'task', 'cms', 'ajax', 'json', 'rest', 'responsive design', 'graceful degradation', 'ada', 'accessibility', 'angular', 'react', 'vue', 'bitbucket', 'github', 'jira', 'aem', 'html', 'css', 'javascript', 'react'","'adobe', 'experience manager', 'aem', 'angular bootstrap content', 'cms'",Class 2
Social Media Coordinator,Intellistall Pvt Ltd,Ambala Cantonment,On-site,1,0.000286829,3,Marketing & Advertising ,Entry level,Full-time,marketinganalytical skills brand awareness communication marketing strategy multitasking online marketing online presence social media web analytics,"'manage', 'facebook', 'instagram', 'twitter', 'linkedin', 'kpis', 'social media', 'facebook business manager', 'hootsuite', 'google analytics', 'seo', 'sem'","'marketinganalytical', 'skills brand awareness', 'online marketing online'",Class 4
Digital Marketing Intern,Stader Labs,Delhi,Remote,1,0.000814594,75,Financial Services ,Entry level,Internship,digital marketingmarketingcanva communication copywriting figma (software) marketing analytics marketing strategy project management skilled multi-tasker,"'twitter', 'instagram', 'youtube', 'emails', 'figma', 'canva', 'figma', 'canva'","'digital', 'marketingmarketingcanva communication', 'software'",Class 4
Business Development Executive,Learning Routes,Gurugram,On-site,0.010771219,0.002363469,5,E-learning ,Entry level,Full-time,businessbusiness development cold calling counseling curriculum education learning post-sales sales universities,"'routes', 'full', 'timedepartment', 'career development', 'post', 'competency'",'businessbusiness',Class 2
Data Modeler,Mobile Programming LLC,Bengaluru,On-site,0.269280483,0.017680128,23,Information Technology & Services ,Entry level,Full-time,"data architecture data models data strategies dimensional modeling edw extract, transform, load (etl) oracle application express pl/sql sql stored procedures","'bengalururequired skill', 'excel', 'power bi', 'apex', 'sql', 'oracle', 'extracting', 'mobile programming', 'oracle sql', 'oracle', 'sql', 'etl', 'etl', 'experience', 'edw', 'backend', 'functions', 'packages', 'sql', 'power bi', 'review', 'product development', 'oracle'","'data', 'architecture data models data strategies dimensional', 'transform', 'load', 'etl', 'oracle application express'",Class 2
Sales Manager,Admin Looks,Delhi,On-site,1,4.59E-05,17,Management Consulting ,Associate,Full-time,business development erp sales it sales large account sales sales management software sales technical product sales,"'smart', 'intelligent'","'business', 'development', 'large account', 'sales management software', 'sales technical product'",Class 4
Marketing Analytics Trainee,MedTourEasy,New Delhi,Remote,0.026928048,0.001376778,23,Hospital & Health Care ,Entry level,Internship,marketinganalytical skills analytics data science easily adaptable marketing analytics marketing strategy product marketing scikit-learn seaborn,"'python', 'matplotlib', 'nltk', 'numpy', 'scipy', 'python'","'marketinganalytical', 'skills analytics data science easily adaptable marketing analytics marketing strategy product marketing'",Class 2
SEM Executive,Adaan Digital Solutions,New Delhi,On-site,0.026928048,0.003120698,16,Marketing & Advertising ,Entry level,Full-time,advertising campaigns analytical skills campaign management google ads google analytics marketing campaign management pay per click (ppc) search engine marketing (sem) web analytics,"'digital', 'google adwords', 'kpis'","'campaigns analytical skills campaign', 'click', 'ppc', 'search engine marketing', 'sem'",Class 2
IT Project Manager/Team Leader,Nowgray.com,Lucknow,On-site,0,0.000309775,3,Computer Software ,Entry level,Full-time,ad serving business solutions development client accounts computer literacy presentation skills project coordination project management search engines software solution development team leadership,"'exposure', 'prior experience', 'digital', 'search engine', 'project coordinator'","'client accounts computer literacy', 'skills project', 'engines software solution development team leadership'",Class 2
Ecommerce Manager,THE OLD NATURAL,Faridabad,On-site,1,0,23,Retail ,Entry level,Full-time,marketingcommunication computer literacy e-commerce seo english fba listings negotiation portals sales,"'amazon seller', 'brand', 'fba', 'required1', 'basic', 'targeteducation'","'marketingcommunication', 'computer literacy'",Class 4
C++ Developer,Mobile Programming LLC,Pune,Hybrid,0.269280483,0.017680128,23,Information Technology & Services ,Entry level,Full-time,assembly language c++ code review computer engineering computer science debugging embedded systems firmware software development software development methodologies,"'developerexperience', 'yearslocation', 'pune'","'language', 'systems firmware software development software'",Class 2
"Senior Representative, Fund Administration",BNY Mellon,Chennai,On-site,0.538614821,0.54301285,1,Financial Services ,Entry level,Full-time,marketingcommunication expense budgeting fund administration insurance ledger management negotiation research team building teamwork,"'administration', 'reviews', 'bny mellon', 'disabilities/protected veterans', 'bny mellon', 'bny mellon', 'bny mellon', 'bny mellon', 'mellon', 'asset servicing', 'bny mellon'",'ledger management',Class 3
Business Development Executive,Extramarks Education India Pvt. Ltd.,Ranchi,On-site,0.269280483,0.058536026,16,E-learning ,Entry level,Full-time,account management business development business-to-business (b2b) contract negotiation customer satisfaction lead generation market research new business development sales processes teamwork,'education india pvt',"'account', 'contract negotiation customer', 'market research new business', 'teamwork'",Class 2
Customer Service Representative,Capital Consultant,Gurugram,On-site,1,0.000229463,16,Human Resources ,Entry level,Full-time,communication customer requirements customer service finance financial instruments gmc group medical hiring insurance internal communications,"'india', 'complete', 'limited', 'ctc'","'communication', 'customer requirements customer service finance financial instruments', 'gmc group medical', 'internal communications'",Class 4
"Specialist, HR",Baxter International Inc.,Ahmedabad,On-site,0.538614821,0.419768242,62,Medical Device ,Entry level,Full-time,human resources (hr)coaching coaching & mentoring employee engagement employee relations hr policies idps new hires onboarding talent management,"'livesat baxter', 'baxter', 'ta', 'ensure', 'monitor', 'new', 'goal', 'processesreview', 'trp', 'plansupport', 'idps', 'workdayfocus', 'functionsidentify', 'goal setting', 'ace', 'idp', 'trp', 'pi', 'americas_tta', 'baxter', 'fraud'",'hires onboarding talent',Class 1
Human Resources Manager,Holy Mission Secondary School,Patna,On-site,0.010771219,0.000504819,35,Education Management ,Entry level,Full-time,coaching employee engagement employee relations hr policies human resources information systems (hris) onboarding organizational development personnel management talent management training,"'hr', 'female', 'graduation', 'mba', 'negotiable'","'employee engagement employee relations hr policies human', 'hris', 'organizational development personnel management'",Class 2
Business Development Associate,BYJU'S,Kolkata metropolitan area,On-site,0.538614821,0.408776962,3,E-learning ,Entry level,Full-time,businessbusiness development ctc ug,"'immediate', 'joining', 'neededrole', 'bdaeligibility'",'businessbusiness',Class 1
Delivery Account Operations Associate Professional,Xerox,Chandigarh,On-site,0.538614821,0.599483708,1,Information Technology & Services ,Entry level,Full-time,attrition data validation direct client interaction leave management legal writing presentation skills presentations quality assurance service-level agreements (sla) standard operating procedure (sop),'cvs',"'client interaction leave', 'skills presentations quality assurance', 'sla', 'standard operating procedure', 'sop'",Class 3
Associate Visa Support,upGrad Abroad,Noida,On-site,0.053856097,0.001480037,11,E-learning ,Entry level,Full-time,business visas on site operations management visas,"'greetings', 'visa support', 'study abroad', 'student visa', 'australian visa', 'associate visa', 'abhishek8.singh'","'business', 'visas', 'site operations'",Class 2
Business Development Associate,BYJU'S,Delhi,Remote,0.538614821,0.408776962,23,E-learning ,Entry level,Full-time,business development edtech employee benefits inside sales job training learning sales sales processes target driven training programs,"'ojt phase', 'sgdp', 'ojt', 'ojt', 'business development associate', 'bda', 'byju'","'business', 'development edtech employee benefits', 'target driven training programs'",Class 1
Marketing & Communication Manager,Hyatt Hotels Corporation,Pune,On-site,0.538614821,0.845238642,81,Hospitality ,Mid-Senior level,Full-time,communication corporate communications distribution strategies manuals marketing communications olap cubes revenue enhancement sales & marketing strategic communications trend analysis,"'departmental operations manuals', 'revenue enhancement', 'business intelligence', 'revenue management', 'fit', 'hyatt', 'cognos', 'pms', 'cognos', 'competitive intelligence', 'rate view', 'gallileo focalpoint', 'business intelligence', 'revenue management', 'ideas', 'fit', 'associate handbook', 'marketing', 'public relations', 'business'","'corporate communications distribution strategies manuals', 'strategic communications trend analysis'",Class 3
Aqua - Sales Officer,Cargill,Gurgaon,On-site,0.538614821,0.808111519,9,Food Production ,Mid-Senior level,Full-time,bid processes customer satisfaction direct sales presentations product demonstration product knowledge sales sales & marketing sales operations sales presentations,'help',"'bid', 'customer satisfaction direct', 'sales presentations product'",Class 3
Assistant Sales Manager,IndiaMART InterMESH Limited,Delhi,On-site,0.269280483,0.156700321,5,Computer Software ,Entry level,Full-time,client relations closures customer relationship management (crm) customer retention independent contributor sales sales management upselling,"'position', 'build', 'systematic'","'client', 'relations closures customer relationship management', 'crm', 'sales management'",Class 2
Project Manager-Project Management (DXP),Infogain,Gurugram,On-site,0.538560965,0.054187701,4,Information Technology & Services ,Entry level,Full-time,marketingbudgeting capability maturity model integration (cmmi) communication customer satisfaction negotiation project management quality processes team management training,"'job', 'positiontechnical project', 'project', 'agile', 'project', 'cmmi', 'iso'","'capability maturity model', 'cmmi', 'communication customer'",Class 1
Data Research Associate,Evon Technologies,Dehradun,On-site,0.026928048,0.004784305,19,Information Technology & Services ,Entry level,Full-time,cascading style sheets (css) communication data analytics data research data visualization english microsoft outlook sql team leadership teamwork,"'evon technologies pvt', 'cmmi', 'top mobile app development', 'ios', 'android', 'java', 'html', 'php', 'ruby', 'rails', 'phone gap', 'angular', 'node', 'react', 'salesforce', 'powerbi', 'smart', 'yearsjob', 'descriptionkey duties', 'responsibilitiesfetch', 'basisfetch', 'titlesfetch', 'linkedin leads', 'sales navigator', 'atyou', 'researchyou', 'skillsyou', 'excel', 'word', 'powerpoint', 'north america', 'apac', 'middle east', 'dehradun', 'let'","'style sheets', 'css', 'communication data', 'microsoft outlook'",Class 2
"Support Engineer (.NET, C#)",Trek Bicycle,Haryana,Hybrid,0.538560965,0.039915099,1,Sporting Goods ,Entry level,Full-time,information technologyangular documentation level of detail (lod) point of sale (pos) systems presentations root cause analysis sql database systems analysis troubleshooting,"'identify', 'crm', 'ascend', 'object oriented language', 'sql server', 'azure sql database', 'sql', 'development', 'support', 'issues', 'crm', 'board', 'issues', 'azure', 'angular', 'sql queries', 'point', 'sale', 'pos'","'technologyangular documentation level', 'detail', 'lod', 'sale', 'pos', 'systems presentations root cause analysis'",Class 1
Inside Sales Executive,Careerera -SNVA EduTech,Noida,On-site,0,0.002742084,9,Education Management ,Entry level,Full-time,communication customer communication customer relationship management (crm) inside sales lead qualification prospects research sales sales processes targeted messaging,"'job', 'generate', 'counsel professional'","'crm', 'sales lead'",Class 2
Sales And Marketing Specialist,join.com,Delhi,On-site,0.010771219,0.001571822,15,Computer Software ,Mid-Senior level,Full-time,communication computer literacy interpersonal skills lead generation negotiation oil pipeline management sales & marketing sales processes sales strategy sales targets,"'effectivenessevaluate', 'relationshipsmeet', 'targetsresearch', 'developmentsreport', 'dataproven', 'crmfamiliarity', 'competencystrong', 'skillsself'","'skills lead', 'sales', 'sales strategy'",Class 2
JAMF Administrator,Mobile Programming LLC,Bengaluru,On-site,0.269280483,0.017680128,23,Information Technology & Services ,Entry level,Full-time,information technologyapplication security application testing computer science cyber-security cybersecurity operating systems security systems security tools service desk,'bengaluru',"'technologyapplication', 'security systems', 'security tools service'",Class 2
Human Resources Executive,Initor Global UK,Ahmedabad,On-site,0.010771219,0.000722809,48,Outsourcing/Offshoring ,Entry level,Full-time,hr managementhuman resources (hr)employee engagement employer branding onboarding recruiting resource management,"'initor', 'global uk', 'payroll', 'tax outsourcing', 'chartered', 'uk', 'ireland', 'initor global uk', 'certified accountants', 'tax professionals', 'india', 'india'",'employee engagement employer branding onboarding',Class 2
HR Executive,Compunnel Inc.,Noida,On-site,0.269280483,0.024931161,108,Information Technology & Services ,Mid-Senior level,Full-time,human resources (hr)technical recruitingadvertising employee relations exit interviews hr policies hr transformation management information systems (mis) performance appraisal talent management,"'maintain', 'mediclaim', 'pms', 'dashboards', 'mis'","'technical', 'mis'",Class 2
Assistant Manager - CD - Growth North & East(JR00111583),Bajaj Finserv,Patiala,On-site,0.538614821,0.378946765,1,Financial Services ,Mid-Senior level,Full-time,communication customer satisfaction inventory management management information systems (mis) negotiation team building team leadership team management teamwork training,"'jr00111583', 'manager', 'cd', 'growth north', 'east', 'responsibilities', 'oew', 'lan', 'dsr'",'mis',Class 1
Business Development Associate,Offiga (by SnapMojo),North West Delhi,On-site,1,3.44E-05,6,Computer Software ,Entry level,Full-time,businessattention to detail business development communication creative problem solving high level of accuracy lead generation market research oral communication problem solving,"'offiga', 'bain', 'philips', 'gartner', 'exl', 'p global', 'times', 'india', 'offiga', 'business development', 'north delhi', 'india', 'key', 'apollo', 'linkedin sales navigator', 'zoho crm', 'bring', 'hr', 'sharp', 'strong', 'free'","'detail business development', 'accuracy lead generation market'",Class 4
Talent Acquisition Executive (WFO Mumbai),Hike Education,Mumbai,On-site,0.026928048,0.002581459,30,Education Management ,Entry level,Full-time,human resources (hr)edtech higher education recruitment mass hiring mumbai recruiting sales hiring screening resumes sourcing talent management,"'hike education', 'parties', 'india', 'face', 'hiring manager'","'edtech higher education', 'mass hiring mumbai', 'resumes sourcing talent'",Class 2
Software Developer,nVent,Mumbai,On-site,0.538614821,0.026399725,8,Electrical & Electronic Manufacturing ,Entry level,Full-time,angular communication computer engineering front-end development full-stack development object-oriented programming (oop) programming software development typescript web technologies,"'saas', 'iot', 'devops', 'computer engineering', 'typescript', 'angular', 'web ui', 'iot', 'restful', 'json', 'lean', 'agile', 'devops', 'continuous integration', 'amazon', 'amazon aws lambda', 'react', 'caddy', 'erico', 'hoffman', 'raychem', 'schroff', 'tracer', 'action', 'nvent', 'erico', 'hoffman', 'raychem', 'schroff', 'tracer', 'action'","'angular', 'communication computer', 'oop', 'software development', 'typescript web technologies'",Class 1
Help Desk Coordinator,SNVA Ventures,Mumbai,On-site,0.053856097,0.004417164,6,Construction ,Entry level,Full-time,airline ticketing event ticketing,'experience','airline',Class 2
Web Designer,Golden Eagle IT Technologies,Indore,On-site,0.026928048,0.001147315,23,Information Technology & Services ,Entry level,Full-time,adobe illustrator adobe photoshop cascading style sheets (css) creative strategy html landing pages pages user experience (ux) user interface design web design,'job',"'adobe', 'css', 'creative strategy', 'user interface'",Class 2
